id,nombre,nivel,cantidad_ventas,monto,comisiones
1,Fedora,2,117,43136.00,2156.80
2,Blanca,2,152,20984.00,1049.20
6,Kyle,2,183,87481.00,4374.05
8,Vanya,2,174,85760.00,4288.00
9,Amber,2,32,24527.00,858.45
12,Cornelius,2,136,53530.00,2676.50
15,Corry,2,126,21861.00,1093.05
17,Joanne,2,141,28564.00,1428.20
18,Barn,2,17,81857.00,2865.00
22,Desiree,2,83,79516.00,2783.06
25,Caresse,2,156,44196.00,2209.80
32,Valentine,2,163,65507.00,3275.35
34,Ellyn,2,164,44071.00,2203.55
35,Ola,2,115,11798.00,589.90
45,Polly,2,96,90896.00,3181.36
46,Harrietta,2,118,10843.00,542.15
47,Georgeanna,2,51,35087.00,1228.05
51,Florina,2,44,97451.00,3410.78
52,Faustina,2,62,99187.00,3471.54
53,Bent,2,176,93415.00,4670.75
58,Remus,2,53,25826.00,903.91
65,Milicent,2,184,66967.00,3348.35
69,Shayne,2,166,87181.00,4359.05
72,Esra,2,196,75835.00,3791.75
75,Taddeusz,2,63,97698.00,3419.43
77,Igor,2,15,27068.00,947.38
81,Mortimer,2,4,40181.00,1406.33
89,Delmore,2,7,56085.00,1962.97
90,Didi,2,137,84333.00,4216.65
93,Jennifer,2,174,77226.00,3861.30
96,Clarey,2,113,92482.00,4624.10
