id,nombre,nivel,cantidad_ventas,monto,comisiones
4,Tye,0,89,80270.00,1605.40
5,Boniface,0,170,41265.00,825.30
7,Rozele,0,44,61985.00,1239.70
10,Kristel,0,18,809.00,16.18
11,Prentiss,0,5,60207.00,1204.14
13,Cyrus,0,105,25566.00,511.32
14,Shane,0,148,45107.00,902.14
16,Kahlil,0,69,78577.00,1571.54
19,Robbie,0,56,64195.00,1283.90
21,Kissie,0,160,90198.00,1803.96
23,Saree,0,36,9469.00,189.38
24,Patrick,0,74,79986.00,1599.72
26,Issi,0,132,70932.00,1418.64
27,Claus,0,90,23969.00,479.38
29,Olivette,0,124,82974.00,1659.48
38,Tore,0,12,91175.00,1823.50
39,Bernette,0,52,89869.00,1797.38
41,Jase,0,111,15799.00,315.98
42,Binnie,0,139,36845.00,736.90
48,Jerrilee,0,105,2590.00,51.80
54,Gwenette,0,199,78582.00,1571.64
56,Michaela,0,186,72293.00,1445.86
57,Edith,0,152,77183.00,1543.66
60,Calypso,0,83,35722.00,714.44
61,Zitella,0,27,86391.00,1727.82
62,Reynolds,0,133,59499.00,1189.98
67,Delphinia,0,90,85093.00,1701.86
70,Esther,0,138,71893.00,1437.86
71,Zack,0,102,95865.00,1917.30
73,Wallis,0,57,1397.00,27.94
76,Mair,0,181,4288.00,85.76
79,Ethelred,0,194,84490.00,1689.80
80,Rosamond,0,113,1831.00,36.62
82,Christi,0,128,41341.00,826.82
83,Katey,0,129,8094.00,161.88
84,Peggie,0,124,80982.00,1619.64
85,Arnie,0,118,91699.00,1833.98
86,Tobi,0,157,21663.00,433.26
87,Lisabeth,0,121,32718.00,654.36
92,Greta,0,126,57318.00,1146.36
94,Babara,0,179,3174.00,63.48
95,Silvanus,0,194,89301.00,1786.02
98,Ronna,0,81,57459.00,1149.18
99,Clovis,0,80,26278.00,525.56
